Longitude,Latitude,Postcode,Locality,State
148.660924,-34.672157,2584, NSW, NSW
148.514544,-34.60231,2585, NSW, NSW
148.817174,-34.293221,2586, NSW, NSW
148.326923,-34.546956,2587, NSW, NSW
148.11893,-34.514128,2588, NSW, NSW
147.948795,-34.694457,2590, NSW, NSW
148.136012,-34.246114,2594, NSW, NSW
149.113596,-35.305292,2600, Yarralumla, NSW
149.121473,-35.280736,2601, Acton, NSW
149.126264,-35.328196,2603, Griffith, NSW
149.090856,-35.356481, Australia Post 2606 Distribution Centre, Phillip, NSW
149.10109,-35.368552,2607, Mawson, NSW
149.195284,-35.296534,2609, Pialligo, NSW
148.961824,-35.382719,2611, Tharwa, NSW
149.14692,-35.284205,2612, Reid, NSW
149.088005,-35.22842,2617, Lawson, NSW
149.064442,-35.092384,2618, NSW, NSW
149.202477,-35.384408,2619, Jerrabomberra, NSW
149.101703,-35.496058,2620, ACT, NSW
149.434481,-35.367165,2621, NSW, NSW
149.96522,-35.328559,2622, NSW, NSW
149.389819,-35.683958,2623, NSW, NSW
149.17772,-35.935664,2626, NSW, NSW
148.5617,-36.402806,2627, NSW, NSW
148.752012,-36.321216,2628, NSW, NSW
148.820945,-36.069715,2629, NSW, NSW
149.212979,-36.160511,2630, NSW, NSW
149.277487,-36.62539,2631, NSW, NSW
149.185833,-36.881261,2632, NSW, NSW
148.772702,-36.910508,2633, NSW, NSW
146.88038,-36.000217,2640, NSW, NSW
146.920355,-36.033127,2641, NSW, NSW
146.867355,-35.627653,2642, NSW, NSW
147.4421,-35.773839,2644, NSW, NSW
146.276432,-35.330323,2645, Urana, NSW
145.991129,-35.983784,2647, Mulwala, NSW
142.243844,-33.565544,2648, NSW, NSW
148.263557,-36.171193,2649, NSW, NSW
146.505224,-34.629433,2652, NSW, NSW
147.96063,-35.732706,2653, NSW, NSW
146.662883,-35.220164,2656, NSW, NSW
146.880423,-35.466532,2658, NSW, NSW
146.878434,-35.753209,2659, NSW, NSW
147.284391,-35.156934,2661, NSW, NSW
147.580721,-34.865491,2663, Junee, NSW
146.830116,-34.314893,2665, NSW, NSW
147.393698,-34.09721,2668, NSW, NSW
146.605609,-33.773635,2669, NSW, NSW
146.328345,-33.378642,2672, NSW, NSW
145.501996,-33.266887,2675, NSW, NSW
147.3542,-35.059398,2678, Charles Sturt University, NSW
146.149402,-34.200071,2681, NSW, NSW
146.490985,-34.844522,2700, NSW, NSW
147.248713,-34.718626,2701, NSW, NSW
147.040941,-34.794728,2702, Ganmain, NSW
146.401934,-34.624919,2703, NSW, NSW
146.286986,-34.50506,2705, NSW, NSW
144.889573,-35.294188,2710, NSW, NSW
144.874949,-34.164361,2711, NSW, NSW
145.559047,-35.582645,2713, NSW, NSW
145.507317,-35.780232,2714, NSW, NSW
143.732023,-33.957384,2715, NSW, NSW
145.769752,-35.212565,2716, NSW, NSW
142.091627,-34.098042,2717, NSW, NSW
148.45381,-35.504066,2720, NSW, NSW
147.898164,-33.969609,2721, NSW, NSW
147.894256,-34.440846,2725, NSW, NSW
