place_name,state,postcode,latitude,longitude,lga_name,category
Ariah Park,New South Wales,2665,-34.31079893,147.19710501,Temora,Regional centres and other regional areas
Arkell,New South Wales,2795,-33.73576584,149.38597064,Bathurst,Regional centres and other regional areas
Arkstone,New South Wales,2795,-34.09327127,149.63091213,Oberon,Regional centres and other regional areas
Armatree,New South Wales,2828,-31.44796798,148.46345612,Gilgandra,Regional centres and other regional areas
Armidale,New South Wales,2350,-30.50311925,151.66780007,Armidale,Regional centres and other regional areas
Arrawarra,New South Wales,2456,-30.05294596,153.19114882,Coffs Harbour,Regional centres and other regional areas
Arrawarra Headland,New South Wales,2456,-30.06822775,153.19567133,Coffs Harbour,Regional centres and other regional areas
Arthurville,New South Wales,2820,-32.55594101,148.73791873,Dubbo,Regional centres and other regional areas
Arumpo,New South Wales,2715,-33.81282443,142.67410132,Wentworth,Regional centres and other regional areas
Ashby (NSW),New South Wales,2463,-29.44214911,153.18369128,Clarence Valley,Regional centres and other regional areas
Ashby Heights,New South Wales,2463,-29.3958108,153.17465429,Clarence Valley,Regional centres and other regional areas
Ashby Island,New South Wales,2463,-29.42423357,153.20361173,Clarence Valley,Regional centres and other regional areas
Ashford (NSW),New South Wales,2361,-29.31183142,151.16706624,Inverell,Regional centres and other regional areas
Ashley,New South Wales,2400,-29.25011615,149.79768697,Moree Plains,Regional centres and other regional areas
Ashmont,New South Wales,2650,-35.12489428,147.33175994,Wagga Wagga,Regional centres and other regional areas
Ashtonfield,New South Wales,2323,-32.77993015,151.5992247,Maitland,Regional centres and other regional areas
Atholwood,New South Wales,2361,-29.06816257,151.04760291,Inverell,Regional centres and other regional areas
Attunga,New South Wales,2345,-30.91124463,150.81745671,Tamworth,Regional centres and other regional areas
Auburn Vale,New South Wales,2360,-29.83088167,151.03910536,Inverell,Regional centres and other regional areas
Austinmer,New South Wales,2515,-34.30170653,150.92914728,Wollongong,Cities and major regional centres
Austral Eden,New South Wales,2440,-31.02557101,152.91963194,Kempsey,Regional centres and other regional areas
Avisford,New South Wales,2850,-32.74709824,149.47879011,Mid-Western,Regional centres and other regional areas
Avoca (NSW),New South Wales,2577,-34.59118073,150.47213811,Wingecarribee,Regional centres and other regional areas
Avoca Beach,New South Wales,2251,-33.47023904,151.42762601,Central Coast (NSW),Regional centres and other regional areas
Avon (NSW),New South Wales,2574,-34.4254888,150.66868182,Wingecarribee,Cities and major regional centres
Avondale (NSW),New South Wales,2530,-34.52391124,150.74536535,Wollongong,Cities and major regional centres
Avonside,New South Wales,2628,-36.39805463,148.72045898,Snowy Monaro,Regional centres and other regional areas
Awaba,New South Wales,2283,-33.02242835,151.54248823,Lake Macquarie,Cities and major regional centres
Aylmerton,New South Wales,2575,-34.42247632,150.49647037,Wingecarribee,Regional centres and other regional areas
Baan Baa,New South Wales,2390,-30.5723509,149.92906832,Narrabri,Regional centres and other regional areas
Babinda (NSW),New South Wales,2825,-31.92564404,146.50854588,Bogan,Regional centres and other regional areas
Babyl Creek,New South Wales,2470,-28.72233725,152.79292787,Kyogle,Regional centres and other regional areas
Back Creek (Bland - NSW),New South Wales,2671,-33.86454342,147.46054267,Bland,Regional centres and other regional areas
Back Creek (Gwydir - NSW),New South Wales,2390,-30.11225836,150.27558198,Gwydir,Regional centres and other regional areas
Back Creek (Mid-Coast - NSW),New South Wales,2422,-31.96167395,152.05315576,Mid-Coast,Regional centres and other regional areas
Back Creek (Queanbeyan-Palerang Regional - NSW),New South Wales,2622,-35.34329443,149.94354771,Queanbeyan-Palerang,Regional centres and other regional areas
Back Creek (Tenterfield - NSW),New South Wales,2372,-28.96174432,151.72902925,Tenterfield,Regional centres and other regional areas
Back Creek (Tweed - NSW),New South Wales,2484,-28.40915332,153.17017247,Tweed,Regional centres and other regional areas
Back Forest,New South Wales,2535,-34.84050575,150.68114894,Shoalhaven,Cities and major regional centres
Backmede,New South Wales,2470,-28.75690914,153.02576817,Richmond Valley,Regional centres and other regional areas
Backwater,New South Wales,2365,-30.05250098,151.92236635,Armidale,Regional centres and other regional areas
Badja,New South Wales,2630,-36.05909382,149.51710792,Snowy Monaro,Regional centres and other regional areas
Baerami,New South Wales,2333,-32.40160909,150.46036873,Muswellbrook,Regional centres and other regional areas
Baerami Creek,New South Wales,2333,-32.57416337,150.49335075,Muswellbrook,Regional centres and other regional areas
Bagnoo,New South Wales,2446,-31.47533338,152.53301356,Port Macquarie-Hastings,Regional centres and other regional areas
Bago,New South Wales,2446,-31.51173507,152.66715229,Port Macquarie-Hastings,Regional centres and other regional areas
Bagotville,New South Wales,2477,-28.97611374,153.41304615,Ballina,Regional centres and other regional areas
Bakers Creek (Mid-Coast - NSW),New South Wales,2422,-31.97288097,152.10120079,Mid-Coast,Regional centres and other regional areas
Bakers Creek (Nambucca Valley - NSW),New South Wales,2447,-30.8263661,152.7145441,Nambucca Valley,Regional centres and other regional areas
Bakers Creek (Uralla - NSW),New South Wales,2359,-30.32480865,150.99557972,Uralla,Regional centres and other regional areas
Bakers Swamp,New South Wales,2820,-32.77151675,148.93328698,Dubbo,Regional centres and other regional areas
Balaclava (NSW),New South Wales,2575,-34.44149194,150.48267595,Wingecarribee,Regional centres and other regional areas
Balala,New South Wales,2358,-30.62031956,151.29912006,Uralla,Regional centres and other regional areas
Balcolyn,New South Wales,2264,-33.0957024,151.55198021,Lake Macquarie,Cities and major regional centres
Bald Blair,New South Wales,2365,-30.1801996,151.81719947,Armidale,Regional centres and other regional areas
Bald Hills (NSW),New South Wales,2549,-36.91172107,149.84279519,Bega Valley,Regional centres and other regional areas
Bald Nob,New South Wales,2370,-29.67874531,151.9881211,Glen Innes Severn,Regional centres and other regional areas
